,EEG.O1,EEG.O2,MarkerValueInt
0,4.7515,12.7,2
1,7.7555,19.026,2
2,6.5593,17.937,2
3,1.0039,13.659,2
4,-4.6309,10.509,2
5,-5.5399,8.7465,2
6,-1.9341,6.0951,2
7,1.7784,1.9711,2
8,2.8069,-1.854,2
9,2.2468,-4.3306,2
10,1.6837,-6.464,2
11,0.74586,-9.1548,2
12,-0.84879,-11.674,2
13,-1.5876,-12.812,2
14,-0.64954,-11.884,2
15,-0.34213,-8.5298,2
16,-3.3746,-3.5459,2
17,-8.1109,0.30456,2
18,-9.0924,1.2463,2
19,-3.2677,2.2171,2
20,5.7392,7.5726,2
21,10.965,15.135,2
22,9.2703,16.631,2
23,3.9766,9.066,2
24,0.39721,0.79431,2
25,0.27326,1.1228,2
26,1.5229,7.2581,2
27,2.0246,8.0018,2
28,1.3844,-0.97318,2
29,-0.71997,-12.245,2
30,-4.9923,-17.354,2
31,-9.8888,-15.72,2
32,-10.91,-10.721,2
33,-5.2922,-3.2753,2
34,3.402,5.8766,2
35,8.1078,11.779,2
36,5.955,9.4464,2
37,0.99607,1.4433,2
38,-1.3054,-4.0219,2
39,-0.17356,-3.1219,2
40,1.1905,-0.22302,2
41,0.68381,-0.45685,2
42,-0.54647,-2.6718,2
43,-0.64545,-2.609,2
44,0.29104,0.033504,2
45,0.82238,1.8584,2
46,0.29112,1.7972,2
47,-0.61697,2.4132,2
48,-0.97954,4.7317,2
49,-0.44492,5.9682,2
50,0.90918,4.3448,2
51,2.6026,2.5617,2
52,3.4038,3.1884,2
53,1.9067,3.2869,2
54,-1.7031,-1.7707,2
55,-4.9825,-10.063,2
56,-5.4061,-13.786,2
57,-3.1007,-9.1971,2
58,-0.39658,-1.4636,2
59,1.2074,2.6269,2
60,2.1631,2.829,2
61,2.7524,2.9362,2
62,1.9349,3.4745,2
63,-0.30292,1.9567,2
64,-1.2905,-0.94709,2
65,1.1455,-1.1146,2
66,4.6811,2.2534,2
67,4.5452,4.3886,2
68,-0.22344,1.8199,2
69,-5.2409,-2.2809,2
70,-6.3017,-2.8247,2
71,-3.9006,-0.10473,2
72,-0.90929,1.5499,2
73,1.6125,0.76553,2
74,3.7963,0.23478,2
75,4.1386,0.99772,2
76,0.92427,0.37073,2
77,-3.7275,-2.6803,2
78,-4.6843,-4.1606,2
79,-0.02641,-0.4593,2
80,5.7831,5.2933,2
81,6.7554,6.4157,2
82,2.17,1.5456,2
83,-3.2022,-3.6644,2
84,-4.9169,-4.3277,2
85,-3.0397,-2.1416,2
86,-0.60193,-1.6086,2
87,0.26156,-3.4023,2
88,-0.19886,-4.3824,2
89,-0.5982,-2.5806,2
90,-0.075583,0.84616,2
91,0.94461,3.9241,2
92,1.0446,5.313,2
93,-0.70945,3.8613,2
94,-3.0416,-0.1182,2
95,-2.9136,-2.8777,2
96,1.148,-0.15158,2
97,6.3698,6.4243,2
98,7.8001,9.2443,2
99,3.7434,3.9323,2
100,-1.8148,-4.0685,2
101,-3.3811,-5.9989,2
102,-0.29309,-1.2977,2
103,2.4371,2.0763,2
104,0.16388,-1.2152,2
105,-5.636,-7.3544,2
106,-9.0371,-9.6947,2
107,-6.6926,-7.2638,2
108,-1.3466,-3.6748,2
109,2.2123,-0.6697,2
110,2.7494,2.8796,2
111,2.4394,6.7235,2
112,2.5844,8.3547,2
113,2.3037,6.9707,2
114,1.4246,4.9684,2
115,1.6566,4.0852,2
116,3.4808,2.5915,2
117,4.1936,-1.5368,2
118,1.3326,-6.2224,2
