,EEG.O1,EEG.O2,MarkerValueInt
0,27.041,19.411,4
1,43.554,30.938,4
2,43.083,30.217,4
3,28.359,20.033,4
4,10.6,8.9335,4
5,-0.4886,3.176,4
6,-5.5556,0.68591,4
7,-11.905,-4.9511,4
8,-22.49,-15.56,4
9,-32.11,-25.633,4
10,-34.035,-27.862,4
11,-27.03,-19.81,4
12,-15.388,-6.0518,4
13,-4.5885,4.8485,4
14,2.3609,7.0001,4
15,6.2308,2.9173,4
16,10.182,1.3616,4
17,16.146,7.3429,4
18,22.338,15.75,4
19,25.212,17.707,4
20,23.64,11.807,4
21,19.773,5.0183,4
22,15.634,2.6999,4
23,10.501,2.5209,4
24,2.8645,0.11269,4
25,-5.9271,-3.5321,4
26,-11.847,-4.1564,4
27,-12.754,-1.4869,4
28,-11.459,0.021974,4
29,-12.415,-2.3812,4
30,-15.695,-6.2234,4
31,-16.811,-7.9005,4
32,-13.382,-7.5873,4
33,-9.0576,-7.9879,4
34,-8.1667,-9.6255,4
35,-8.866,-9.8136,4
36,-5.7624,-6.4423,4
37,1.6114,-1.0185,4
38,7.8575,3.1098,4
39,9.8902,4.8451,4
40,11.057,6.4104,4
41,14.792,10.062,4
42,18.52,14.641,4
43,17.494,16.413,4
44,11.584,13.28,4
45,4.3105,7.2043,4
46,-2.3528,1.8871,4
47,-7.7517,-1.4181,4
48,-9.1474,-4.7945,4
49,-4.1538,-10.118,4
50,3.5387,-15.368,4
51,6.1911,-15.771,4
52,1.092,-9.4172,4
53,-6.5131,-0.89181,4
54,-10.786,2.6894,4
55,-11.348,-0.14103,4
56,-10.263,-3.109,4
57,-7.6124,-0.18507,4
58,-3.4272,6.1625,4
59,-0.38436,8.2347,4
60,-0.42748,4.195,4
61,-0.96683,1.1153,4
62,1.5069,4.61,4
63,5.643,9.6602,4
64,7.0967,6.8743,4
65,5.1,-3.7277,4
66,3.0975,-11.28,4
67,3.2354,-7.9742,4
68,4.0748,0.5987,4
69,3.8768,2.7735,4
70,2.6827,-4.2772,4
71,0.89612,-11.475,4
72,-1.0026,-9.3709,4
73,-1.2842,0.97133,4
74,1.089,9.991,4
75,3.3391,10.527,4
76,1.61,4.9319,4
77,-2.7791,1.5004,4
78,-4.3201,4.6683,4
79,-1.8157,9.6442,4
80,-0.94423,7.8473,4
81,-5.4794,-2.3967,4
82,-10.404,-12.7,4
83,-8.2813,-13.763,4
84,0.21182,-6.0183,4
85,6.9765,1.5576,4
86,6.5789,2.4233,4
87,1.3072,-1.2705,4
88,-3.4594,-3.8143,4
89,-4.7412,-3.3315,4
90,-2.3182,-1.6341,4
91,2.5615,0.33141,4
92,7.2597,3.2295,4
93,9.0024,6.5134,4
94,7.3416,7.9465,4
95,3.7619,6.011,4
96,-1.0428,1.1228,4
